State_Name,Year,Month,Day_of_Week,Time_of_Day,Accident_Severity,Number_of_Vehicles_Involved,Vehicle_Type_Involved,Number_of_Casualties,Number_of_Fatalities,Weather_Conditions,Road_Type,Road_Condition,Lighting_Conditions,Traffic_Control_Presence,Speed_Limit ,Driver_Age,Driver_Gender,Driver_License_Status,Alcohol_Involvement,Accident_Location_Details,Age_group
Rajasthan,2020,September,Tuesday,04:30,Serious,1,Cycle,0,2,Stormy,Village Road,Dry,Dawn,Signals,50,32,Female,Expired,No,Intersection,30-50
Goa,2020,October,Saturday,03:32,Fatal,2,Bus,9,4,Rainy,Village Road,Dry,Daylight,Police Checkpost,35,18,Male,Expired,No,Curve,18-21
Kerala,2023,June,Monday,18:51,Minor,5,Auto-Rickshaw,5,1,Clear,Village Road,Under Construction,Dawn,Signals,113,53,Female,Valid,Yes,Bridge,50-60
Nagaland,2018,December,Monday,08:53,Fatal,1,Auto-Rickshaw,10,4,Hazy,Village Road,Dry,Daylight,Police Checkpost,94,70,Male,Expired,No,Straight Road,71-80
Maharashtra,2019,June,Friday,08:34,Serious,2,Cycle,3,1,Rainy,Urban Road,Wet,Daylight,Signs,91,47,Female,Expired,Yes,Curve,30-50
Andhra Pradesh,2021,May,Thursday,20:27,Minor,3,Auto-Rickshaw,5,4,Foggy,National Highway,Wet,Dusk,Signs,85,29,Female,Expired,Yes,Intersection,21-30
Bihar,2020,January,Wednesday,05:22,Minor,2,Bus,7,0,Clear,Urban Road,Under Construction,Daylight,Signs,62,70,Male,Expired,No,Intersection,71-80
Chandigarh,2022,May,Thursday,05:22,Minor,1,Auto-Rickshaw,3,3,Rainy,Urban Road,Under Construction,Daylight,Signs,83,70,Male,Valid,No,Straight Road,71-80
Uttarakhand,2021,June,Thursday,09:35,Minor,4,Two-Wheeler,3,0,Clear,Village Road,Damaged,Dusk,Police Checkpost,119,66,Male,Valid,Yes,Straight Road,60-70
Punjab,2022,October,Sunday,10:04,Minor,3,Bus,1,0,Hazy,National Highway,Dry,Dusk,Signs,55,51,Male,Valid,No,Bridge,50-60
Odisha,2020,July,Sunday,14:45,Serious,2,Two-Wheeler,3,5,Hazy,Village Road,Damaged,Dusk,Police Checkpost,67,59,Female,Valid,Yes,Intersection,50-60
Rajasthan,2019,June,Friday,12:25,Minor,5,Car,7,0,Rainy,National Highway,Dry,Dusk,Signals,99,21,Male,Valid,No,Curve,21-30
Gujarat,2022,March,Monday,15:39,Fatal,3,Cycle,9,3,Rainy,Village Road,Under Construction,Dusk,Police Checkpost,48,45,Female,Expired,No,Straight Road,30-50
Chhattisgarh,2018,September,Monday,13:50,Serious,3,Pedestrian,1,0,Foggy,National Highway,Damaged,Dark,Signals,66,33,Male,Valid,No,Curve,30-50
West Bengal,2021,December,Saturday,11:11,Serious,5,Two-Wheeler,3,3,Foggy,National Highway,Damaged,Daylight,Signals,102,53,Female,Valid,No,Bridge,50-60
Delhi,2022,April,Monday,16:22,Fatal,3,Cycle,2,2,Stormy,National Highway,Dry,Dark,Signals,80,20,Male,Valid,Yes,Curve,18-21
Himachal Pradesh,2021,March,Tuesday,20:13,Minor,1,Truck,9,3,Rainy,Village Road,Damaged,Dark,Police Checkpost,96,28,Male,Valid,Yes,Straight Road,21-30
Nagaland,2023,December,Monday,11:07,Fatal,4,Two-Wheeler,4,4,Rainy,State Highway,Wet,Dark,Signals,39,27,Male,Expired,Yes,Curve,21-30
Tripura,2020,January,Wednesday,11:42,Serious,3,Bus,2,5,Rainy,Village Road,Dry,Dusk,Signals,46,43,Male,Expired,No,Straight Road,30-50
Mizoram,2019,October,Tuesday,00:06,Fatal,1,Truck,3,0,Clear,National Highway,Dry,Dusk,Signs,75,56,Male,Valid,No,Intersection,50-60
Mizoram,2022,September,Tuesday,01:27,Serious,5,Two-Wheeler,1,0,Stormy,Village Road,Under Construction,Daylight,Signs,80,57,Male,Valid,Yes,Curve,50-60
Jharkhand,2018,February,Saturday,06:48,Minor,1,Truck,5,0,Hazy,National Highway,Wet,Dusk,Signals,67,25,Male,Valid,Yes,Straight Road,21-30
Chandigarh,2019,May,Tuesday,21:59,Serious,1,Truck,5,5,Clear,Village Road,Under Construction,Daylight,Signals,97,55,Female,Valid,Yes,Curve,50-60
Punjab,2022,January,Tuesday,07:41,Fatal,5,Two-Wheeler,9,2,Foggy,Urban Road,Dry,Dark,Signals,84,39,Male,Valid,Yes,Bridge,30-50
Odisha,2022,April,Thursday,03:40,Serious,3,Bus,1,3,Foggy,National Highway,Dry,Dusk,Signs,43,65,Male,Valid,No,Intersection,60-70
Telangana,2023,July,Tuesday,16:57,Fatal,2,Car,9,4,Hazy,State Highway,Dry,Dusk,Police Checkpost,39,27,Female,Expired,Yes,Bridge,21-30
Himachal Pradesh,2020,January,Wednesday,08:47,Fatal,3,Cycle,4,4,Clear,Village Road,Dry,Dark,Signals,35,62,Male,Valid,No,Bridge,60-70
Arunachal Pradesh,2018,June,Saturday,09:44,Minor,4,Truck,9,1,Hazy,Village Road,Wet,Dusk,Signals,95,18,Female,Expired,No,Intersection,18-21
Mizoram,2019,September,Thursday,11:47,Minor,3,Two-Wheeler,4,2,Stormy,National Highway,Wet,Dark,Police Checkpost,82,54,Male,Valid,No,Straight Road,50-60
Gujarat,2021,April,Wednesday,05:56,Serious,5,Bus,7,3,Rainy,Village Road,Wet,Dark,Police Checkpost,33,43,Female,Expired,Yes,Straight Road,30-50
Karnataka,2021,February,Monday,08:00,Minor,2,Car,7,0,Stormy,Village Road,Wet,Dusk,Signals,72,22,Male,Valid,No,Bridge,21-30
Gujarat,2018,January,Thursday,23:43,Fatal,2,Bus,4,3,Hazy,Urban Road,Damaged,Dawn,Signals,92,63,Male,Valid,No,Intersection,60-70
Delhi,2021,May,Friday,18:55,Serious,3,Truck,8,2,Hazy,Village Road,Under Construction,Dusk,Signs,66,22,Female,Valid,No,Intersection,21-30
Manipur,2019,January,Thursday,02:34,Serious,5,Pedestrian,6,0,Foggy,Village Road,Dry,Daylight,Signals,30,59,Male,Expired,No,Straight Road,50-60
Sikkim,2022,March,Sunday,13:41,Minor,4,Car,9,1,Rainy,State Highway,Wet,Dawn,Police Checkpost,53,61,Female,Valid,No,Intersection,60-70
Delhi,2020,August,Wednesday,01:50,Fatal,2,Cycle,2,2,Foggy,Village Road,Under Construction,Dusk,Signals,96,26,Male,Valid,Yes,Intersection,21-30
West Bengal,2021,May,Wednesday,18:24,Fatal,2,Two-Wheeler,1,4,Clear,State Highway,Damaged,Dawn,Police Checkpost,38,21,Male,Valid,Yes,Curve,21-30
Sikkim,2021,December,Friday,17:36,Minor,5,Truck,2,4,Rainy,State Highway,Dry,Dark,Police Checkpost,84,45,Male,Expired,Yes,Straight Road,30-50
West Bengal,2022,July,Saturday,20:52,Minor,2,Bus,0,4,Hazy,Village Road,Dry,Dark,Police Checkpost,53,65,Male,Expired,Yes,Curve,60-70
Chhattisgarh,2021,May,Friday,16:04,Serious,5,Cycle,5,1,Foggy,National Highway,Dry,Daylight,Signals,45,49,Female,Expired,No,Curve,30-50
Himachal Pradesh,2023,August,Saturday,06:12,Minor,2,Two-Wheeler,2,3,Foggy,National Highway,Dry,Daylight,Signs,49,64,Female,Valid,No,Bridge,60-70
Tamil Nadu,2020,December,Wednesday,10:20,Serious,3,Two-Wheeler,10,2,Stormy,Urban Road,Damaged,Dark,Signals,90,54,Male,Valid,No,Curve,50-60
Andhra Pradesh,2023,August,Thursday,18:08,Serious,4,Bus,1,1,Stormy,Village Road,Dry,Dawn,Signs,45,53,Female,Expired,No,Bridge,50-60
Puducherry,2022,July,Friday,19:23,Minor,1,Truck,9,0,Foggy,Village Road,Dry,Dawn,Signals,78,40,Male,Expired,Yes,Intersection,30-50
Mizoram,2020,July,Wednesday,23:44,Serious,1,Cycle,7,4,Rainy,State Highway,Wet,Dark,Signals,109,60,Male,Valid,No,Curve,60-70
Andhra Pradesh,2018,December,Friday,00:27,Minor,4,Auto-Rickshaw,1,5,Foggy,Village Road,Wet,Dark,Signals,86,51,Female,Valid,Yes,Straight Road,50-60
Karnataka,2021,October,Friday,13:08,Minor,1,Pedestrian,2,3,Stormy,Urban Road,Dry,Dawn,Signs,97,37,Male,Expired,No,Straight Road,30-50
Madhya Pradesh,2018,August,Thursday,11:19,Minor,4,Cycle,0,4,Hazy,Urban Road,Dry,Daylight,Signals,46,63,Female,Valid,Yes,Bridge,60-70
Puducherry,2023,February,Saturday,23:48,Minor,3,Two-Wheeler,6,5,Stormy,Village Road,Under Construction,Dusk,Police Checkpost,55,68,Female,Valid,No,Bridge,60-70
West Bengal,2022,March,Sunday,07:43,Minor,5,Pedestrian,6,0,Rainy,Village Road,Under Construction,Dark,Signals,41,43,Male,Expired,Yes,Curve,30-50
West Bengal,2020,April,Thursday,07:27,Minor,3,Two-Wheeler,8,0,Hazy,National Highway,Damaged,Dark,Police Checkpost,77,39,Female,Valid,No,Bridge,30-50
Maharashtra,2022,April,Monday,17:33,Minor,3,Pedestrian,7,1,Rainy,State Highway,Wet,Dark,Police Checkpost,78,42,Male,Valid,Yes,Intersection,30-50
Mizoram,2023,April,Sunday,23:14,Fatal,1,Two-Wheeler,4,5,Stormy,National Highway,Dry,Dawn,Police Checkpost,46,66,Female,Valid,Yes,Bridge,60-70
Arunachal Pradesh,2020,July,Friday,13:31,Minor,4,Car,8,2,Clear,Urban Road,Damaged,Dawn,Signals,110,70,Male,Valid,No,Intersection,71-80
Bihar,2020,December,Monday,05:34,Serious,5,Cycle,4,2,Hazy,Urban Road,Wet,Daylight,Police Checkpost,43,40,Female,Expired,No,Curve,30-50
Gujarat,2022,December,Friday,11:41,Fatal,3,Auto-Rickshaw,3,2,Foggy,Urban Road,Damaged,Dark,Signals,117,57,Female,Expired,Yes,Curve,50-60
West Bengal,2021,December,Thursday,08:32,Serious,4,Truck,5,1,Stormy,Village Road,Dry,Dawn,Police Checkpost,100,61,Male,Expired,No,Curve,60-70
Puducherry,2021,March,Thursday,11:52,Minor,5,Two-Wheeler,2,5,Hazy,State Highway,Damaged,Dusk,Signs,30,27,Female,Valid,Yes,Curve,21-30
Odisha,2019,September,Monday,16:12,Serious,4,Bus,6,5,Hazy,Urban Road,Under Construction,Daylight,Signs,44,68,Female,Expired,Yes,Straight Road,60-70
Goa,2019,April,Thursday,05:36,Fatal,1,Pedestrian,0,1,Hazy,National Highway,Wet,Dusk,Signals,106,36,Female,Valid,Yes,Bridge,30-50
Odisha,2018,March,Monday,05:31,Minor,3,Car,1,1,Clear,Urban Road,Under Construction,Daylight,Signals,33,62,Male,Valid,No,Bridge,60-70
Andhra Pradesh,2022,November,Tuesday,13:07,Fatal,5,Auto-Rickshaw,10,5,Stormy,State Highway,Under Construction,Dark,Signs,105,35,Female,Valid,No,Intersection,30-50
Andhra Pradesh,2021,April,Monday,06:26,Minor,5,Pedestrian,4,4,Stormy,Village Road,Under Construction,Daylight,Signs,106,36,Female,Expired,No,Intersection,30-50
Chhattisgarh,2020,April,Tuesday,02:23,Minor,3,Car,5,4,Rainy,State Highway,Wet,Daylight,Signs,49,50,Female,Expired,Yes,Intersection,50-60
Mizoram,2020,February,Thursday,20:53,Minor,4,Cycle,3,2,Rainy,State Highway,Under Construction,Daylight,Signs,83,48,Female,Valid,No,Intersection,30-50
Telangana,2022,March,Sunday,16:33,Minor,1,Pedestrian,6,2,Hazy,Urban Road,Dry,Dusk,Signs,76,18,Female,Expired,No,Straight Road,18-21
Arunachal Pradesh,2019,November,Sunday,20:56,Serious,2,Pedestrian,3,2,Clear,National Highway,Wet,Daylight,Signals,50,54,Male,Expired,Yes,Bridge,50-60
Uttar Pradesh,2020,November,Tuesday,08:12,Minor,1,Pedestrian,9,4,Clear,Village Road,Dry,Daylight,Signs,75,61,Male,Valid,No,Curve,60-70
Puducherry,2021,August,Saturday,11:52,Minor,5,Pedestrian,4,4,Stormy,Village Road,Wet,Dawn,Signs,100,40,Female,Expired,Yes,Bridge,30-50
Telangana,2023,May,Monday,13:06,Serious,1,Auto-Rickshaw,3,5,Rainy,Village Road,Damaged,Dark,Police Checkpost,55,45,Female,Expired,Yes,Bridge,30-50
Gujarat,2022,March,Monday,16:36,Minor,5,Two-Wheeler,6,2,Hazy,National Highway,Wet,Dark,Signals,100,26,Female,Expired,No,Straight Road,21-30
Goa,2020,February,Saturday,08:30,Fatal,5,Auto-Rickshaw,9,3,Rainy,Urban Road,Dry,Dawn,Signs,114,57,Female,Valid,No,Straight Road,50-60
Gujarat,2018,April,Saturday,06:18,Minor,3,Bus,1,5,Stormy,State Highway,Under Construction,Dark,Signs,31,40,Male,Valid,Yes,Curve,30-50
Nagaland,2019,March,Saturday,02:10,Fatal,3,Cycle,8,0,Stormy,Village Road,Wet,Dark,Police Checkpost,46,62,Male,Expired,No,Curve,60-70
Gujarat,2022,January,Wednesday,21:10,Serious,4,Truck,6,1,Rainy,State Highway,Dry,Dawn,Signs,110,52,Male,Expired,Yes,Curve,50-60
Mizoram,2023,August,Monday,11:24,Fatal,1,Cycle,9,1,Clear,Urban Road,Wet,Dark,Signs,100,28,Female,Valid,Yes,Curve,21-30
Uttarakhand,2018,June,Thursday,22:37,Serious,4,Auto-Rickshaw,9,0,Rainy,Village Road,Dry,Dark,Police Checkpost,102,50,Female,Expired,Yes,Straight Road,50-60
Madhya Pradesh,2020,June,Tuesday,12:06,Serious,4,Cycle,10,2,Foggy,State Highway,Wet,Dark,Police Checkpost,97,42,Male,Valid,Yes,Curve,30-50
Meghalaya,2022,October,Monday,11:32,Minor,5,Two-Wheeler,2,0,Stormy,Urban Road,Under Construction,Daylight,Police Checkpost,76,31,Female,Valid,Yes,Curve,30-50
Delhi,2021,January,Friday,05:00,Minor,3,Pedestrian,8,5,Stormy,Village Road,Dry,Dark,Signs,49,64,Male,Valid,Yes,Straight Road,60-70
Delhi,2023,September,Saturday,14:20,Minor,3,Truck,10,0,Rainy,Urban Road,Dry,Dawn,Signals,113,65,Female,Expired,No,Straight Road,60-70
Delhi,2020,July,Friday,21:15,Serious,1,Car,8,0,Clear,Urban Road,Under Construction,Dusk,Police Checkpost,81,68,Male,Expired,Yes,Straight Road,60-70
Madhya Pradesh,2018,November,Friday,21:37,Fatal,2,Two-Wheeler,1,2,Hazy,State Highway,Wet,Dawn,Signs,41,38,Male,Valid,No,Intersection,30-50
Maharashtra,2022,March,Sunday,06:30,Serious,2,Truck,10,3,Clear,National Highway,Damaged,Dusk,Police Checkpost,86,58,Male,Valid,No,Curve,50-60
Tamil Nadu,2023,October,Monday,03:27,Fatal,5,Pedestrian,5,5,Foggy,Village Road,Wet,Dusk,Signs,99,20,Male,Valid,No,Intersection,18-21
Punjab,2020,January,Tuesday,01:14,Minor,4,Truck,10,2,Clear,Village Road,Under Construction,Dusk,Police Checkpost,89,58,Female,Expired,No,Straight Road,50-60
Sikkim,2020,January,Wednesday,17:33,Minor,1,Cycle,2,1,Stormy,State Highway,Under Construction,Daylight,Signs,89,54,Male,Expired,No,Straight Road,50-60
Tamil Nadu,2023,November,Saturday,05:54,Minor,1,Auto-Rickshaw,10,1,Clear,State Highway,Damaged,Daylight,Signals,31,64,Male,Valid,Yes,Bridge,60-70
Meghalaya,2019,October,Monday,19:31,Minor,3,Truck,10,0,Hazy,State Highway,Under Construction,Dawn,Signs,103,29,Female,Expired,No,Bridge,21-30
Punjab,2021,February,Saturday,00:23,Fatal,4,Cycle,8,4,Hazy,Urban Road,Under Construction,Dusk,Signs,71,56,Male,Valid,No,Bridge,50-60
Arunachal Pradesh,2018,December,Tuesday,11:57,Minor,2,Cycle,7,1,Rainy,Urban Road,Under Construction,Dusk,Signs,35,35,Female,Valid,Yes,Straight Road,30-50
Mizoram,2020,December,Tuesday,04:51,Fatal,3,Auto-Rickshaw,7,1,Hazy,State Highway,Damaged,Daylight,Police Checkpost,54,50,Female,Expired,Yes,Bridge,50-60
Nagaland,2022,February,Monday,04:41,Minor,1,Cycle,8,0,Stormy,Urban Road,Damaged,Daylight,Signals,57,54,Male,Valid,Yes,Intersection,50-60
Puducherry,2023,December,Monday,12:51,Minor,3,Cycle,7,0,Rainy,National Highway,Wet,Daylight,Police Checkpost,104,64,Female,Expired,No,Curve,60-70
Madhya Pradesh,2022,January,Sunday,06:48,Serious,3,Cycle,3,1,Hazy,Village Road,Damaged,Dusk,Signals,110,24,Male,Valid,No,Straight Road,21-30
Himachal Pradesh,2021,May,Saturday,00:14,Serious,5,Auto-Rickshaw,5,3,Clear,National Highway,Damaged,Dawn,Signals,99,27,Male,Valid,Yes,Bridge,21-30
Odisha,2019,May,Sunday,10:35,Minor,5,Cycle,5,1,Hazy,State Highway,Dry,Dusk,Police Checkpost,45,56,Male,Expired,Yes,Bridge,50-60
Tripura,2021,April,Wednesday,01:39,Minor,3,Truck,7,5,Rainy,State Highway,Wet,Dark,Police Checkpost,81,58,Male,Expired,No,Straight Road,50-60
Goa,2018,July,Tuesday,12:16,Fatal,1,Bus,1,1,Hazy,Urban Road,Damaged,Daylight,Police Checkpost,98,52,Male,Expired,Yes,Intersection,50-60
Punjab,2019,August,Wednesday,11:43,Fatal,2,Pedestrian,0,3,Rainy,Village Road,Wet,Dark,Police Checkpost,108,33,Female,Valid,Yes,Curve,30-50
Nagaland,2023,February,Thursday,04:25,Serious,1,Bus,9,5,Clear,State Highway,Dry,Dark,Signals,81,46,Male,Expired,Yes,Curve,30-50
Jammu and Kashmir,2022,October,Tuesday,00:22,Serious,3,Bus,0,1,Rainy,Urban Road,Dry,Dusk,Signs,95,29,Male,Valid,No,Intersection,21-30
Himachal Pradesh,2019,May,Tuesday,22:55,Fatal,1,Car,0,1,Rainy,State Highway,Damaged,Daylight,Signals,37,67,Female,Expired,No,Bridge,60-70
Delhi,2018,February,Tuesday,15:58,Serious,2,Bus,3,3,Rainy,Urban Road,Dry,Daylight,Signals,81,69,Female,Valid,No,Intersection,60-70
Karnataka,2018,March,Friday,15:42,Fatal,4,Bus,2,2,Clear,State Highway,Damaged,Daylight,Signs,89,57,Female,Valid,No,Intersection,50-60
Karnataka,2019,August,Tuesday,05:26,Serious,2,Two-Wheeler,3,5,Clear,National Highway,Damaged,Dusk,Police Checkpost,76,47,Male,Valid,Yes,Intersection,30-50
Madhya Pradesh,2022,June,Monday,01:03,Minor,4,Car,7,3,Foggy,Urban Road,Dry,Dusk,Signals,32,69,Male,Expired,Yes,Bridge,60-70
Manipur,2021,November,Thursday,19:25,Fatal,5,Bus,6,1,Foggy,Village Road,Wet,Dark,Signals,104,38,Male,Valid,Yes,Intersection,30-50
Gujarat,2019,October,Friday,10:23,Serious,3,Pedestrian,4,0,Rainy,State Highway,Dry,Daylight,Signals,107,23,Female,Valid,Yes,Straight Road,21-30
Rajasthan,2018,October,Saturday,04:24,Minor,1,Bus,9,2,Rainy,Urban Road,Wet,Dusk,Signs,79,64,Male,Expired,No,Intersection,60-70
Tamil Nadu,2021,April,Thursday,05:29,Minor,2,Auto-Rickshaw,1,5,Clear,National Highway,Under Construction,Dusk,Police Checkpost,84,30,Male,Valid,Yes,Intersection,30-50
Arunachal Pradesh,2021,January,Friday,02:56,Serious,3,Truck,1,4,Foggy,State Highway,Dry,Dark,Police Checkpost,51,21,Female,Expired,No,Intersection,21-30
Chhattisgarh,2019,October,Tuesday,16:00,Fatal,5,Cycle,0,1,Clear,National Highway,Damaged,Daylight,Signals,33,37,Male,Valid,No,Intersection,30-50
Sikkim,2023,August,Sunday,07:19,Serious,4,Car,0,1,Stormy,State Highway,Wet,Dusk,Signs,59,23,Male,Expired,Yes,Intersection,21-30
Chandigarh,2022,December,Saturday,17:58,Serious,4,Auto-Rickshaw,7,2,Clear,Urban Road,Dry,Daylight,Police Checkpost,64,67,Male,Expired,No,Straight Road,60-70
Delhi,2023,February,Tuesday,10:44,Fatal,5,Two-Wheeler,7,2,Rainy,Urban Road,Damaged,Dawn,Signals,62,25,Male,Valid,Yes,Bridge,21-30
West Bengal,2021,October,Sunday,03:52,Minor,1,Two-Wheeler,7,4,Hazy,National Highway,Wet,Daylight,Signals,51,54,Male,Valid,Yes,Intersection,50-60
Uttarakhand,2018,August,Saturday,01:43,Minor,4,Pedestrian,1,4,Hazy,Village Road,Dry,Dawn,Police Checkpost,44,53,Female,Expired,No,Intersection,50-60
Maharashtra,2021,May,Saturday,19:55,Fatal,5,Auto-Rickshaw,9,4,Stormy,Urban Road,Dry,Dark,Signals,85,21,Male,Expired,Yes,Intersection,21-30
Goa,2020,March,Thursday,16:29,Fatal,2,Two-Wheeler,3,1,Foggy,State Highway,Dry,Dusk,Police Checkpost,81,42,Female,Expired,Yes,Curve,30-50
Jammu and Kashmir,2020,March,Thursday,05:53,Minor,3,Truck,10,2,Rainy,State Highway,Damaged,Dark,Police Checkpost,112,54,Female,Valid,No,Bridge,50-60
Gujarat,2022,November,Wednesday,07:41,Minor,2,Bus,9,4,Rainy,National Highway,Damaged,Dawn,Police Checkpost,117,54,Female,Valid,No,Bridge,50-60
Maharashtra,2023,August,Tuesday,04:09,Minor,1,Truck,1,2,Clear,National Highway,Wet,Dark,Police Checkpost,46,29,Male,Valid,Yes,Bridge,21-30
Uttar Pradesh,2018,July,Tuesday,22:52,Fatal,3,Pedestrian,0,0,Stormy,National Highway,Dry,Dark,Signals,53,55,Male,Valid,Yes,Straight Road,50-60
Gujarat,2021,October,Sunday,22:53,Minor,5,Auto-Rickshaw,8,1,Hazy,Urban Road,Under Construction,Dusk,Police Checkpost,66,60,Female,Valid,Yes,Curve,60-70
Mizoram,2020,November,Saturday,17:57,Minor,3,Bus,10,2,Foggy,State Highway,Under Construction,Dark,Signals,89,49,Female,Expired,No,Bridge,30-50
Uttar Pradesh,2018,March,Saturday,08:51,Fatal,1,Cycle,7,5,Clear,Urban Road,Under Construction,Daylight,Signs,81,39,Male,Expired,No,Straight Road,30-50
Maharashtra,2021,January,Sunday,10:25,Serious,2,Car,4,4,Foggy,Urban Road,Dry,Dusk,Signals,72,24,Female,Valid,Yes,Intersection,21-30
Nagaland,2023,December,Saturday,13:40,Minor,4,Car,1,5,Stormy,Village Road,Damaged,Dusk,Signs,95,18,Male,Expired,No,Curve,18-21
Goa,2020,January,Monday,19:51,Minor,2,Auto-Rickshaw,9,1,Stormy,Village Road,Under Construction,Daylight,Police Checkpost,114,22,Female,Expired,No,Curve,21-30
Delhi,2020,July,Saturday,09:22,Fatal,3,Truck,1,2,Rainy,State Highway,Under Construction,Dawn,Signals,87,57,Female,Valid,No,Intersection,50-60
Punjab,2022,November,Monday,19:32,Fatal,3,Truck,3,0,Stormy,Village Road,Under Construction,Dawn,Signs,32,48,Male,Valid,Yes,Bridge,30-50
Puducherry,2020,August,Thursday,14:50,Minor,1,Two-Wheeler,6,5,Clear,Urban Road,Under Construction,Dusk,Signals,41,58,Male,Expired,No,Intersection,50-60
Chandigarh,2019,March,Friday,13:38,Serious,4,Two-Wheeler,1,4,Stormy,Village Road,Wet,Dark,Signals,39,53,Male,Expired,No,Straight Road,50-60
Uttar Pradesh,2020,May,Thursday,03:23,Minor,5,Two-Wheeler,5,0,Foggy,Village Road,Wet,Daylight,Signs,44,49,Female,Expired,No,Bridge,30-50
Madhya Pradesh,2020,August,Wednesday,19:46,Fatal,4,Auto-Rickshaw,5,4,Clear,Village Road,Wet,Dark,Signs,60,29,Female,Expired,Yes,Curve,21-30
Assam,2019,June,Friday,01:48,Serious,4,Truck,0,4,Foggy,National Highway,Damaged,Dusk,Signals,36,25,Male,Expired,No,Curve,21-30
Meghalaya,2023,December,Friday,02:51,Fatal,5,Cycle,0,4,Clear,Urban Road,Damaged,Daylight,Police Checkpost,38,30,Female,Valid,No,Straight Road,30-50
Gujarat,2021,October,Wednesday,08:06,Fatal,2,Truck,2,3,Rainy,Village Road,Damaged,Dark,Police Checkpost,102,68,Male,Valid,No,Bridge,60-70
Tamil Nadu,2020,September,Sunday,05:29,Fatal,4,Two-Wheeler,1,3,Rainy,Village Road,Damaged,Dusk,Police Checkpost,75,30,Male,Valid,No,Straight Road,30-50
Delhi,2018,June,Saturday,10:49,Fatal,5,Bus,7,1,Stormy,National Highway,Damaged,Dark,Signs,109,24,Female,Expired,No,Bridge,21-30
Delhi,2021,October,Thursday,22:47,Fatal,4,Car,0,2,Foggy,Village Road,Wet,Dawn,Signs,37,20,Female,Valid,No,Straight Road,18-21
Chandigarh,2018,July,Wednesday,03:33,Fatal,5,Bus,9,3,Clear,Urban Road,Under Construction,Daylight,Signals,73,57,Female,Expired,Yes,Bridge,50-60
Nagaland,2019,February,Wednesday,22:46,Minor,2,Two-Wheeler,9,3,Clear,Urban Road,Dry,Dawn,Police Checkpost,106,70,Female,Valid,Yes,Straight Road,71-80
Andhra Pradesh,2018,October,Thursday,11:28,Fatal,4,Cycle,3,3,Foggy,Urban Road,Under Construction,Dark,Signals,34,43,Male,Valid,Yes,Intersection,30-50
Gujarat,2020,August,Saturday,00:25,Minor,2,Bus,4,2,Hazy,National Highway,Damaged,Dark,Signals,76,55,Female,Expired,Yes,Bridge,50-60
Maharashtra,2021,December,Wednesday,07:21,Fatal,3,Truck,5,2,Rainy,National Highway,Wet,Dusk,Signs,96,39,Female,Expired,Yes,Curve,30-50
Mizoram,2021,July,Monday,01:10,Fatal,1,Two-Wheeler,3,1,Rainy,Urban Road,Wet,Dawn,Signals,110,48,Female,Expired,Yes,Intersection,30-50
Andhra Pradesh,2018,July,Saturday,19:04,Fatal,1,Pedestrian,7,1,Rainy,State Highway,Damaged,Dark,Signs,49,41,Male,Valid,No,Straight Road,30-50
Karnataka,2020,August,Saturday,07:13,Fatal,4,Two-Wheeler,0,1,Clear,State Highway,Damaged,Dark,Signals,96,18,Male,Expired,Yes,Curve,18-21
Chhattisgarh,2018,October,Tuesday,15:06,Minor,3,Two-Wheeler,1,1,Clear,Village Road,Under Construction,Dawn,Police Checkpost,75,30,Female,Expired,No,Curve,30-50
Karnataka,2019,January,Wednesday,05:29,Serious,3,Cycle,7,5,Foggy,National Highway,Damaged,Dusk,Police Checkpost,82,24,Female,Valid,Yes,Bridge,21-30
Meghalaya,2018,July,Thursday,05:44,Minor,1,Auto-Rickshaw,2,1,Hazy,Urban Road,Wet,Daylight,Signs,114,59,Female,Valid,Yes,Curve,50-60
Tamil Nadu,2021,March,Sunday,22:37,Fatal,1,Truck,10,2,Rainy,National Highway,Wet,Daylight,Police Checkpost,90,54,Male,Valid,No,Curve,50-60
Delhi,2021,November,Saturday,19:51,Serious,1,Car,10,3,Hazy,National Highway,Wet,Daylight,Police Checkpost,30,51,Female,Valid,Yes,Straight Road,50-60
Arunachal Pradesh,2018,December,Wednesday,12:36,Minor,2,Cycle,9,3,Rainy,State Highway,Under Construction,Dawn,Signs,49,54,Female,Expired,No,Intersection,50-60
Haryana,2020,March,Wednesday,18:50,Minor,4,Pedestrian,6,3,Rainy,Village Road,Under Construction,Dusk,Signals,106,44,Female,Expired,No,Intersection,30-50
Assam,2020,September,Tuesday,11:24,Fatal,3,Pedestrian,0,2,Foggy,Urban Road,Under Construction,Dusk,Signals,103,41,Female,Valid,Yes,Bridge,30-50
Jammu and Kashmir,2019,January,Tuesday,01:32,Serious,4,Pedestrian,7,0,Foggy,National Highway,Under Construction,Dusk,Signs,112,19,Male,Valid,Yes,Intersection,18-21
Maharashtra,2018,June,Monday,01:09,Serious,4,Cycle,0,3,Foggy,State Highway,Under Construction,Dawn,Signals,72,45,Male,Valid,No,Straight Road,30-50
Tripura,2022,July,Monday,13:06,Serious,4,Auto-Rickshaw,9,1,Foggy,National Highway,Wet,Dusk,Police Checkpost,119,60,Male,Expired,No,Bridge,60-70
Telangana,2020,January,Thursday,19:08,Minor,4,Truck,0,3,Stormy,Urban Road,Wet,Dawn,Signs,58,48,Female,Expired,Yes,Straight Road,30-50
